D (11,12,-1) (4,3,2)
D (8,9,10) (0,1,0)
D (9,10,-1) (5,5,5)
D (7,-1,-1) (2,0,4)
D (8,-1,-1) (0,4,1)
D (10,-1,-1) (5,5,1)
D (7,8,-1) (2,4,4)
D (7,-1,-1) (1,1,5)
D (8,9,10) (1,2,5)
D (10,-1,-1) (1,2,0)
D (8,9,-1) (5,1,1)
D (7,-1,-1) (0,0,1)
D (7,8,9) (3,2,0)
D (8,-1,-1) (0,0,3)
D (12,-1,-1) (4,1,1)
D (7,-1,-1) (0,3,4)
D (9,-1,-1) (0,2,5)
D (12,-1,-1) (2,4,0)
D (9,-1,-1) (5,3,2)
D (9,-1,-1) (3,0,5)
D (12,-1,-1) (1,4,4)
D (11,-1,-1) (0,4,0)
D (10,11,-1) (3,3,0)
D (9,10,11) (2,0,2)
D (9,10,11) (4,0,2)
D (7,8,9) (1,2,1)
D (12,-1,-1) (3,4,4)
D (11,12,-1) (0,3,3)
D (12,-1,-1) (2,0,5)
D (12,-1,-1) (0,0,4)
D (9,10,11) (4,5,4)
D (8,9,-1) (2,3,5)
D (9,-1,-1) (2,5,2)
D (8,9,-1) (2,2,1)
D (10,11,12) (0,5,2)
D (9,10,11) (3,3,2)
D (7,8,9) (1,1,4)
D (8,9,-1) (0,3,0)
D (12,-1,-1) (3,3,5)
D (10,11,12) (2,4,5)
C 0 5
C 1 2
C 2 4
C 3 9
C 4 17
C 5 15
C 6 11
C 7 21
C 8 11
C 9 11
C 10 18
C 11 0
C 12 7
C 13 17
C 14 25
C 15 14
C 16 0
C 17 14
C 18 2
C 19 16
C 20 11
C 21 20
C 22 12
C 23 15
C 24 15
C 25 0
C 26 24
C 27 26
C 28 24
C 29 4
C 30 14
C 31 2
C 32 25
C 33 1
C 34 22
C 35 22
C 36 21
C 37 2
C 38 8
C 39 11
C 40 8
C 41 22
C 42 12
C 43 7
C 44 22
C 45 11
C 46 17
C 47 5
C 48 3
C 49 8
C 50 15
C 51 11
C 52 16
C 53 0
C 54 20
C 55 16
C 56 23
C 57 3
C 58 4
C 59 25
C 60 26
C 61 8
C 62 26
C 63 8
C 64 3
C 65 5
C 66 16
C 67 5
C 68 11
C 69 5
C 70 0
C 71 0
C 72 0
C 73 0
C 74 0
C 75 0
C 76 0
C 77 0
C 78 0
C 79 0
C 80 0
C 81 0
C 82 0
C 83 0
C 84 26
C 85 15
C 86 17
C 87 21
C 88 2
C 89 25
C 90 16
C 91 11
C 92 26
C 93 1
C 94 5
C 95 6
C 96 22
C 97 26
C 98 23
C 99 12
C 100 23
C 101 20
C 102 16
C 103 16
C 104 5
C 105 4
C 106 1
C 107 4
C 108 22
C 109 23
C 110 20
C 111 14
C 112 18
C 113 8
C 114 6
C 115 0
C 116 25
C 117 1
C 118 25
C 119 1
C 120 23
C 121 3
C 122 25
C 123 14
C 124 26
C 125 4
C 126 8
C 127 10
C 128 14
C 129 22
C 130 11
C 131 0
C 132 24
C 133 18
C 134 9
C 135 18
C 136 18
C 137 1
C 138 25
C 139 6
C 140 23
C 141 5
C 142 21
C 143 23
C 144 23
C 145 26
C 146 2
C 147 18
C 148 5
C 149 14
C 150 3
C 151 20
C 152 17
C 153 19
C 154 8
C 155 10
C 156 9
C 157 9
C 158 1
C 159 17
C 160 3
C 161 2
C 162 12
C 163 10
C 164 20
C 165 17
C 166 6
C 167 8
C 168 3
C 169 2
C 170 10
C 171 21
C 172 0
C 173 25
C 174 5
C 175 1
C 176 25
C 177 15
C 178 21
C 179 26
C 180 16
C 181 15
C 182 24
C 183 12
C 184 8
C 185 0
C 186 25
C 187 17
C 188 7
C 189 22
C 190 16
C 191 22
C 192 12
C 193 4
C 194 5
C 195 14
C 196 25
C 197 5
C 198 8
C 199 9
C 200 1
C 201 2
C 202 12
C 203 0
C 204 25
C 205 9
C 206 3
C 207 5
C 208 21
C 209 20
C 210 8
C 211 12
C 212 18
C 213 20
C 214 11
C 215 18
C 216 0
C 217 15
C 218 16
C 219 25
C 220 5
C 221 21
C 222 1
C 223 3
C 224 8
C 225 9
C 226 2
C 227 8
C 228 3
C 229 9
C 230 3
C 231 14
C 232 1
C 233 26
C 234 6
C 235 25
C 236 7
C 237 18
C 238 25
C 239 10
C 240 0
C 241 15
C 242 21
C 243 4
C 244 22
C 245 14
C 246 7
C 247 5
C 248 26
C 249 22
C 250 19
C 251 18
C 252 0
C 253 0
C 254 0
C 255 0
C 256 0
C 257 0
C 258 0
C 259 0
C 260 0
C 261 0
C 262 0
C 263 0
C 264 0
C 265 0
C 266 0
C 267 0
C 268 0
C 269 0
C 270 0
C 271 0
C 272 0
C 273 0
C 274 0
C 275 0
C 276 0
C 277 0
C 278 0
C 279 0
C 280 0
C 281 0
C 282 0
C 283 0
C 284 0
C 285 0
C 286 0
C 287 0
C 288 0
C 289 0
C 290 0
C 291 0
C 292 0
C 293 0
C 294 0
C 295 0
C 296 0
C 297 0
C 298 0
C 299 0
C 300 0
C 301 0
C 302 0
C 303 0
C 304 0
C 305 0
C 306 0
C 307 0
C 308 0
C 309 0
C 310 0
C 311 0
C 312 0
C 313 0
C 314 0
C 315 8
C 316 2
C 317 2
C 318 15
C 319 9
C 320 10
C 321 1
C 322 25
C 323 23
C 324 19
C 325 2
C 326 2
C 327 25
C 328 26
C 329 14
C 330 24
C 331 26
C 332 9
C 333 24
C 334 19
C 335 21
C 336 20
C 337 15
C 338 7
C 339 24
C 340 9
C 341 26
C 342 25
C 343 7
C 344 3
C 345 3
C 346 9
C 347 24
C 348 25
C 349 15
C 350 6
I 4 3 4 (3,4,3) (-1,1,1,0)
I 4 3 17 (5,2,0) (1,1,1,0)
I 0 3 9 (2,3,2) (0,1,1,0)|(0,-1,0,0)|(-1,1,0,0)
