D (7,8,-1) (4,0,0)
D (9,10,-1) (4,5,5)
D (11,12,-1) (1,1,1)
D (8,9,-1) (4,2,0)
D (7,-1,-1) (2,5,0)
D (6,-1,-1) (4,4,2)
D (10,11,12) (2,1,2)
D (11,12,13) (4,3,3)
D (13,-1,-1) (0,4,1)
D (12,13,-1) (4,1,3)
D (9,10,11) (1,3,2)
D (8,9,10) (5,2,4)
D (6,7,8) (0,4,4)
D (9,10,11) (5,3,1)
D (13,-1,-1) (5,5,2)
C 0 11
C 1 20
C 2 16
C 3 7
C 4 25
C 5 23
C 6 14
C 7 26
C 8 26
C 9 7
C 10 1
C 11 5
C 12 2
C 13 15
C 14 2
C 15 3
C 16 5
C 17 10
C 18 21
C 19 24
C 20 6
C 21 1
C 22 10
C 23 8
C 24 0
C 25 0
C 26 0
C 27 0
C 28 0
C 29 0
C 30 0
C 31 0
C 32 0
C 33 0
C 34 0
C 35 0
C 36 0
C 37 0
C 38 0
C 39 0
C 40 0
C 41 0
C 42 0
C 43 0
C 44 0
C 45 0
C 46 0
C 47 0
C 48 0
C 49 0
C 50 0
C 51 0
C 52 0
C 53 0
C 54 0
C 55 0
C 56 0
C 57 0
C 58 0
C 59 0
C 60 0
C 61 0
C 62 0
C 63 0
C 64 0
C 65 0
C 66 0
C 67 0
C 68 0
C 69 0
C 70 0
C 71 0
C 72 0
C 73 0
C 74 0
C 75 0
C 76 0
C 77 0
C 78 0
C 79 0
C 80 0
C 81 0
C 82 0
C 83 0
C 84 0
C 85 0
C 86 0
C 87 0
C 88 0
C 89 0
C 90 0
C 91 0
C 92 0
C 93 0
C 94 0
C 95 0
C 96 0
C 97 0
C 98 0
C 99 0
C 100 0
C 101 0
C 102 0
C 103 0
C 104 0
C 105 0
C 106 0
C 107 0
C 108 0
C 109 0
C 110 0
C 111 0
C 112 9
C 113 19
C 114 7
C 115 26
C 116 24
C 117 8
C 118 8
C 119 1
C 120 7
C 121 11
C 122 16
C 123 10
C 124 10
C 125 14
C 126 2
C 127 24
C 128 18
C 129 11
C 130 18
C 131 8
C 132 24
C 133 7
C 134 5
C 135 18
C 136 26
C 137 8
C 138 5
C 139 23
C 140 4
C 141 3
C 142 7
C 143 23
C 144 4
C 145 3
C 146 24
C 147 0
C 148 0
C 149 0
C 150 0
C 151 0
C 152 0
C 153 0
C 154 0
C 155 0
C 156 0
C 157 0
C 158 0
C 159 0
C 160 0
C 161 0
C 162 0
C 163 0
C 164 0
C 165 0
C 166 0
C 167 0
C 168 0
C 169 0
C 170 0
C 171 0
C 172 0
C 173 0
C 174 0
C 175 0
C 176 0
C 177 0
C 178 0
C 179 0
C 180 0
C 181 0
C 182 0
C 183 0
C 184 0
C 185 0
C 186 0
C 187 0
C 188 0
C 189 0
C 190 0
C 191 0
C 192 0
C 193 0
C 194 0
C 195 0
C 196 0
C 197 0
C 198 0
C 199 0
C 200 0
C 201 0
C 202 0
C 203 0
C 204 0
C 205 0
C 206 0
C 207 0
C 208 0
C 209 0
C 210 0
C 211 0
C 212 0
C 213 0
C 214 0
C 215 15
C 216 0
C 217 0
C 218 0
C 219 0
C 220 14
C 221 14
C 222 3
C 223 8
C 224 22
C 225 26
C 226 2
C 227 0
C 228 3
C 229 11
C 230 9
C 231 26
C 232 3
C 233 7
C 234 22
C 235 3
C 236 26
C 237 20
C 238 26
C 239 8
C 240 5
C 241 14
C 242 4
C 243 25
C 244 20
C 245 12
C 246 21
C 247 7
C 248 8
C 249 9
C 250 21
C 251 7
C 252 11
C 253 15
C 254 3
C 255 11
C 256 0
C 257 16
C 258 16
C 259 19
C 260 9
C 261 23
C 262 12
C 263 8
C 264 0
C 265 20
C 266 7
C 267 1
C 268 2
C 269 15
C 270 21
C 271 25
C 272 17
C 273 12
C 274 0
C 275 4
C 276 8
C 277 8
C 278 6
C 279 9
C 280 10
C 281 12
C 282 14
C 283 24
C 284 19
C 285 11
C 286 6
C 287 19
C 288 18
C 289 10
C 290 5
C 291 3
C 292 20
C 293 25
C 294 9
C 295 4
C 296 22
C 297 3
C 298 3
C 299 20
C 300 16
C 301 0
C 302 15
C 303 5
C 304 23
C 305 5
C 306 16
C 307 6
C 308 9
C 309 22
C 310 15
C 311 21
C 312 11
C 313 12
C 314 3
C 315 11
C 316 1
C 317 14
C 318 23
C 319 19
C 320 4
C 321 11
C 322 5
C 323 18
C 324 7
C 325 16
C 326 10
C 327 14
C 328 14
C 329 4
C 330 19
C 331 6
C 332 18
C 333 19
C 334 24
C 335 12
C 336 26
C 337 5
C 338 18
C 339 22
C 340 11
C 341 23
C 342 9
C 343 18
C 344 1
C 345 14
C 346 20
C 347 18
C 348 26
C 349 9
C 350 7
C 351 21
C 352 19
C 353 12
C 354 3
C 355 14
C 356 19
C 357 5
C 358 15
C 359 16
C 360 16
C 361 6
C 362 3
C 363 5
C 364 23
C 365 9
C 366 17
C 367 7
C 368 7
C 369 12
C 370 22
C 371 19
C 372 21
C 373 8
C 374 23
C 375 9
C 376 7
C 377 8
I 0 2 10 (2,4,2) (-1,0,1,0)|(1,-1,-1,0)|(1,-1,0,0)
I 0 2 19 (3,1,5) (1,1,-1,0)
I 5 3 16 (3,3,4) (0,-1,0,0)
