D (8,9,-1) (4,0,5)
D (6,7,-1) (1,2,4)
D (7,8,9) (1,3,4)
D (8,9,10) (2,5,0)
D (12,13,-1) (4,4,2)
D (6,-1,-1) (0,4,1)
D (13,-1,-1) (0,0,3)
D (7,-1,-1) (3,4,0)
D (12,-1,-1) (3,4,1)
D (9,10,-1) (1,1,0)
D (12,13,-1) (1,0,3)
D (6,7,8) (3,1,4)
D (6,7,-1) (0,5,5)
D (11,12,13) (2,1,2)
D (10,-1,-1) (5,5,3)
D (12,-1,-1) (2,1,1)
D (10,-1,-1) (0,3,5)
D (6,7,-1) (2,3,4)
D (8,9,10) (3,4,2)
D (7,-1,-1) (3,0,5)
D (12,13,-1) (1,2,0)
D (12,13,-1) (1,5,3)
C 0 8
C 1 21
C 2 20
C 3 8
C 4 20
C 5 23
C 6 8
C 7 16
C 8 0
C 9 20
C 10 25
C 11 17
C 12 8
C 13 3
C 14 5
C 15 0
C 16 0
C 17 0
C 18 0
C 19 0
C 20 0
C 21 0
C 22 0
C 23 0
C 24 0
C 25 0
C 26 0
C 27 0
C 28 0
C 29 0
C 30 0
C 31 0
C 32 0
C 33 0
C 34 0
C 35 0
C 36 0
C 37 0
C 38 0
C 39 0
C 40 0
C 41 0
C 42 0
C 43 0
C 44 0
C 45 0
C 46 0
C 47 0
C 48 0
C 49 0
C 50 0
C 51 0
C 52 0
C 53 0
C 54 0
C 55 0
C 56 0
C 57 0
C 58 0
C 59 0
C 60 0
C 61 0
C 62 0
C 63 0
C 64 0
C 65 0
C 66 0
C 67 0
C 68 0
C 69 0
C 70 0
C 71 0
C 72 0
C 73 0
C 74 0
C 75 0
C 76 0
C 77 0
C 78 0
C 79 0
C 80 0
C 81 0
C 82 0
C 83 0
C 84 0
C 85 0
C 86 0
C 87 0
C 88 0
C 89 0
C 90 0
C 91 0
C 92 0
C 93 0
C 94 0
C 95 0
C 96 0
C 97 0
C 98 0
C 99 0
C 100 0
C 101 0
C 102 0
C 103 0
C 104 0
C 105 0
C 106 0
C 107 0
C 108 0
C 109 0
C 110 0
C 111 21
C 112 5
C 113 3
C 114 17
C 115 7
C 116 26
C 117 15
C 118 5
C 119 11
C 120 15
C 121 21
C 122 26
C 123 0
C 124 11
C 125 17
C 126 6
C 127 17
C 128 22
C 129 15
C 130 8
C 131 15
C 132 1
C 133 20
C 134 20
C 135 7
C 136 7
C 137 11
C 138 22
C 139 6
C 140 25
C 141 2
C 142 4
C 143 11
C 144 17
C 145 17
C 146 26
C 147 22
C 148 25
C 149 6
C 150 19
C 151 2
C 152 14
C 153 12
C 154 3
C 155 26
C 156 21
C 157 10
C 158 20
C 159 21
C 160 18
C 161 20
C 162 10
C 163 5
C 164 12
C 165 16
C 166 23
C 167 9
C 168 22
C 169 17
C 170 21
C 171 7
C 172 21
C 173 16
C 174 8
C 175 5
C 176 17
C 177 10
C 178 7
C 179 16
C 180 3
C 181 12
C 182 15
C 183 0
C 184 25
C 185 19
C 186 7
C 187 17
C 188 19
C 189 25
C 190 22
C 191 5
C 192 12
C 193 2
C 194 0
C 195 1
C 196 24
C 197 17
C 198 6
C 199 19
C 200 1
C 201 24
C 202 15
C 203 1
C 204 0
C 205 0
C 206 0
C 207 0
C 208 0
C 209 0
C 210 0
C 211 0
C 212 0
C 213 0
C 214 0
C 215 0
C 216 0
C 217 0
C 218 0
C 219 0
C 220 0
C 221 0
C 222 0
C 223 0
C 224 0
C 225 0
C 226 0
C 227 0
C 228 0
C 229 0
C 230 0
C 231 0
C 232 0
C 233 0
C 234 0
C 235 0
C 236 0
C 237 0
C 238 0
C 239 0
C 240 0
C 241 0
C 242 0
C 243 0
C 244 0
C 245 0
C 246 0
C 247 0
C 248 0
C 249 0
C 250 0
C 251 0
C 252 0
C 253 0
C 254 0
C 255 0
C 256 0
C 257 0
C 258 0
C 259 0
C 260 0
C 261 0
C 262 0
C 263 0
C 264 0
C 265 0
C 266 0
C 267 0
C 268 0
C 269 0
C 270 0
C 271 0
C 272 0
C 273 0
C 274 0
C 275 0
C 276 0
C 277 0
C 278 0
C 279 0
C 280 0
C 281 0
C 282 0
C 283 0
C 284 0
C 285 0
C 286 0
C 287 0
C 288 0
C 289 0
C 290 0
C 291 0
C 292 0
C 293 0
C 294 0
C 295 0
C 296 0
C 297 0
C 298 0
C 299 0
C 300 0
C 301 0
C 302 0
C 303 0
C 304 0
C 305 0
C 306 0
C 307 0
C 308 0
C 309 0
C 310 0
C 311 0
C 312 0
C 313 0
C 314 0
C 315 0
C 316 0
C 317 0
C 318 0
C 319 0
C 320 0
C 321 0
C 322 0
C 323 0
C 324 0
C 325 0
C 326 0
C 327 0
C 328 0
C 329 0
C 330 0
C 331 0
C 332 0
C 333 0
C 334 0
C 335 0
C 336 0
C 337 0
C 338 0
C 339 0
C 340 0
C 341 17
C 342 24
C 343 19
C 344 9
C 345 3
C 346 4
C 347 19
C 348 8
C 349 18
C 350 7
C 351 17
C 352 7
C 353 8
C 354 12
C 355 20
C 356 9
C 357 5
C 358 26
C 359 18
C 360 0
C 361 9
C 362 20
C 363 20
C 364 7
C 365 25
C 366 10
C 367 12
C 368 14
C 369 24
C 370 2
C 371 25
C 372 17
C 373 23
C 374 6
C 375 17
C 376 21
C 377 19
I 4 1 8 (3,5,2) (0,-1,0,0)|(0,-1,-1,0)|(0,-1,1,0)
I 0 1 20 (1,2,2) (0,0,1,0)|(0,1,-1,0)|(-1,0,-1,0)
I 3 3 12 (1,1,5) (-1,-1,0,0)|(0,1,1,0)
