D (7,8,-1) (5,0,0)
D (6,-1,-1) (5,2,4)
D (7,-1,-1) (5,5,0)
D (6,-1,-1) (0,1,4)
D (8,3,9) (1,5,4)
D (7,-1,-1) (0,0,2)
D (7,8,-1) (2,2,0)
D (6,7,8) (3,2,3)
D (9,-1,-1) (4,3,1)
D (6,7,-1) (2,0,3)
D (8,-1,-1) (0,3,0)
D (9,-1,-1) (0,2,5)
D (3,9,-1) (1,0,5)
D (3,9,-1) (1,1,5)
D (7,8,-1) (1,0,4)
D (6,7,8) (4,5,0)
D (3,9,-1) (3,0,2)
C 0 5
C 1 11
C 2 6
C 3 5
C 4 16
C 5 15
C 6 23
C 7 14
C 8 24
C 9 14
C 10 24
C 11 4
C 12 8
C 13 14
C 14 16
C 15 5
C 16 14
C 17 19
C 18 5
C 19 16
C 20 17
C 21 26
C 22 8
C 23 25
C 24 7
C 25 7
C 26 9
C 27 16
C 28 6
C 29 26
C 30 12
C 31 16
C 32 3
C 33 5
C 34 7
C 35 17
C 36 26
C 37 14
C 38 10
C 39 26
C 40 3
C 41 25
C 42 14
C 43 7
C 44 1
C 45 7
C 46 9
C 47 26
C 48 1
C 49 5
C 50 2
C 51 24
C 52 4
C 53 19
C 54 1
C 55 2
C 56 2
C 57 24
C 58 26
C 59 8
C 60 22
C 61 22
C 62 16
C 63 18
C 64 6
C 65 7
C 66 24
C 67 20
C 68 25
C 69 9
C 70 6
C 71 0
C 72 8
C 73 5
C 74 24
C 75 2
C 76 19
C 77 22
C 78 15
C 79 8
C 80 21
C 81 4
C 82 10
C 83 22
C 84 15
C 85 21
C 86 25
C 87 11
C 88 1
C 89 25
C 90 3
C 91 12
C 92 8
C 93 20
C 94 0
C 95 15
C 96 20
C 97 26
C 98 22
C 99 9
C 100 8
C 101 2
C 102 0
C 103 0
C 104 0
C 105 0
C 106 0
C 107 0
C 108 0
C 109 0
C 110 0
C 111 0
C 112 0
C 113 0
C 114 0
C 115 0
C 116 0
C 117 0
C 118 0
C 119 0
C 120 0
C 121 0
C 122 0
C 123 0
C 124 0
C 125 0
C 126 0
C 127 0
C 128 0
C 129 0
C 130 0
C 131 0
C 132 0
C 133 0
C 134 0
C 135 0
C 136 0
C 137 0
C 138 0
C 139 0
C 140 0
C 141 0
C 142 0
C 143 0
C 144 0
C 145 0
C 146 0
C 147 0
C 148 7
C 149 6
C 150 6
C 151 19
C 152 18
C 153 6
C 154 18
C 155 9
C 156 22
C 157 9
C 158 12
C 159 9
C 160 23
C 161 10
C 162 7
C 163 3
C 164 5
C 165 6
C 166 3
C 167 18
C 168 22
C 169 26
C 170 10
C 171 24
C 172 10
C 173 26
C 174 14
C 175 21
C 176 18
C 177 10
C 178 6
C 179 2
C 180 12
C 181 7
C 182 24
C 183 26
C 184 9
C 185 11
C 186 1
C 187 7
C 188 11
C 189 4
C 190 10
C 191 6
C 192 15
C 193 7
C 194 8
C 195 0
C 196 4
C 197 5
C 198 7
C 199 11
C 200 0
C 201 24
C 202 24
C 203 24
C 204 14
C 205 24
C 206 18
C 207 5
C 208 4
C 209 23
C 210 19
C 211 0
C 212 12
C 213 17
C 214 10
C 215 14
C 216 24
C 217 23
C 218 6
C 219 21
C 220 19
C 221 23
C 222 9
C 223 22
C 224 17
C 225 3
C 226 9
C 227 1
C 228 16
C 229 19
C 230 0
C 231 0
C 232 12
C 233 21
C 234 7
C 235 9
C 236 26
C 237 22
C 238 18
C 239 21
C 240 20
C 241 0
C 242 17
C 243 26
C 244 5
C 245 22
C 246 0
C 247 1
C 248 3
C 249 5
C 250 18
C 251 1
C 252 21
C 253 25
C 254 0
C 255 18
C 256 4
C 257 9
C 258 8
C 259 14
C 260 24
C 261 20
C 262 3
C 263 11
C 264 25
C 265 20
C 266 7
C 267 24
C 268 9
C 269 6
I 0 3 19 (0,4,5) (0,-1,-1,0)|(0,1,0,0)|(0,0,-1,0)|(0,0,-1,0)
I 3 1 12 (4,3,5) (-1,1,0,0)
I 1 2 17 (1,3,1) (1,-1,1,0)|(0,-1,1,0)|(-1,0,-1,0)|(0,0,-1,0)|(0,-1,0,0)
