D (3,9,-1) (3,4,4)
D (8,3,-1) (2,0,2)
D (3,9,-1) (0,1,2)
D (9,-1,-1) (4,4,3)
D (3,9,-1) (2,2,1)
D (8,3,9) (1,4,0)
D (6,7,8) (4,4,2)
D (9,-1,-1) (5,1,0)
D (3,-1,-1) (3,1,1)
D (6,7,-1) (3,0,2)
D (6,7,8) (5,0,5)
D (3,9,-1) (2,4,1)
D (8,-1,-1) (0,3,0)
D (7,8,3) (1,0,5)
D (9,-1,-1) (3,2,0)
D (7,8,-1) (1,1,4)
D (8,3,-1) (1,5,4)
D (8,3,9) (4,3,0)
D (3,9,-1) (2,4,2)
D (3,9,-1) (3,2,5)
D (8,3,9) (4,0,2)
D (8,-1,-1) (4,2,1)
D (3,-1,-1) (0,5,3)
D (9,-1,-1) (5,5,4)
D (9,-1,-1) (4,2,2)
D (3,-1,-1) (4,3,2)
D (8,3,-1) (2,3,0)
D (6,-1,-1) (4,2,5)
D (6,7,-1) (0,4,2)
D (9,-1,-1) (0,0,2)
D (9,-1,-1) (1,5,2)
C 0 5
C 1 15
C 2 11
C 3 20
C 4 15
C 5 20
C 6 8
C 7 25
C 8 21
C 9 11
C 10 11
C 11 3
C 12 20
C 13 10
C 14 9
C 15 4
C 16 3
C 17 18
C 18 15
C 19 17
C 20 10
C 21 0
C 22 0
C 23 6
C 24 21
C 25 26
C 26 25
C 27 14
C 28 10
C 29 22
C 30 8
C 31 18
C 32 7
C 33 24
C 34 15
C 35 26
C 36 12
C 37 20
C 38 25
C 39 10
C 40 17
C 41 20
C 42 14
C 43 21
C 44 16
C 45 16
C 46 6
C 47 25
C 48 24
C 49 8
C 50 12
C 51 15
C 52 18
C 53 24
C 54 7
C 55 6
C 56 16
C 57 14
C 58 15
C 59 24
C 60 11
C 61 8
C 62 19
C 63 2
C 64 17
C 65 0
C 66 23
C 67 12
C 68 3
C 69 21
C 70 8
C 71 6
C 72 2
C 73 16
C 74 1
C 75 4
C 76 7
C 77 2
C 78 9
C 79 0
C 80 0
C 81 0
C 82 0
C 83 0
C 84 0
C 85 0
C 86 0
C 87 0
C 88 0
C 89 0
C 90 0
C 91 0
C 92 0
C 93 0
C 94 0
C 95 0
C 96 0
C 97 0
C 98 0
C 99 0
C 100 0
C 101 0
C 102 0
C 103 0
C 104 0
C 105 0
C 106 0
C 107 0
C 108 0
C 109 0
C 110 0
C 111 0
C 112 0
C 113 0
C 114 0
C 115 0
C 116 0
C 117 0
C 118 0
C 119 0
C 120 0
C 121 0
C 122 0
C 123 0
C 124 0
C 125 0
C 126 0
C 127 0
C 128 0
C 129 0
C 130 0
C 131 0
C 132 0
C 133 0
C 134 0
C 135 0
C 136 0
C 137 0
C 138 0
C 139 0
C 140 0
C 141 0
C 142 0
C 143 0
C 144 0
C 145 0
C 146 0
C 147 0
C 148 0
C 149 0
C 150 0
C 151 0
C 152 0
C 153 0
C 154 0
C 155 0
C 156 0
C 157 0
C 158 0
C 159 0
C 160 0
C 161 0
C 162 0
C 163 0
C 164 0
C 165 0
C 166 0
C 167 0
C 168 0
C 169 0
C 170 0
C 171 0
C 172 0
C 173 0
C 174 0
C 175 0
C 176 0
C 177 0
C 178 0
C 179 0
C 180 0
C 181 0
C 182 0
C 183 0
C 184 0
C 185 0
C 186 0
C 187 0
C 188 0
C 189 0
C 190 0
C 191 0
C 192 0
C 193 0
C 194 0
C 195 0
C 196 0
C 197 0
C 198 0
C 199 25
C 200 15
C 201 0
C 202 18
C 203 11
C 204 16
C 205 26
C 206 26
C 207 18
C 208 6
C 209 11
C 210 16
C 211 12
C 212 22
C 213 25
C 214 10
C 215 3
C 216 4
C 217 10
C 218 23
C 219 26
C 220 11
C 221 3
C 222 9
C 223 24
C 224 1
C 225 7
C 226 4
C 227 22
C 228 8
C 229 0
C 230 0
C 231 0
C 232 0
C 233 0
C 234 0
C 235 0
C 236 0
C 237 0
C 238 0
C 239 0
C 240 0
C 241 0
C 242 0
C 243 0
C 244 0
C 245 0
C 246 15
C 247 7
C 248 15
C 249 7
C 250 14
C 251 12
C 252 11
C 253 18
C 254 24
C 255 16
C 256 16
C 257 8
C 258 8
C 259 24
C 260 10
C 261 9
C 262 20
C 263 8
C 264 24
C 265 23
C 266 8
C 267 23
C 268 16
C 269 2
I 4 1 18 (3,2,0) (-1,0,-1,0)|(0,-1,-1,0)|(1,-1,-1,0)|(0,-1,-1,0)
I 3 3 1 (2,4,2) (0,1,1,0)
I 1 1 3 (5,2,0) (-1,1,1,0)|(1,0,-1,0)|(0,1,1,0)|(-1,-1,0,0)|(-1,1,-1,0)
